[141.890, 304.271]
[142.149, 304.533]
[142.409, 304.535]
[142.669, 304.797]
[142.928, 305.059]
[143.188, 305.061]
[143.448, 305.323]
[143.707, 305.585]
[143.966, 305.847]
[144.226, 306.109]
[144.485, 306.371]
[144.744, 306.633]
[145.004, 306.895]
[145.263, 307.156]
[145.522, 307.418]
[145.783, 307.421]
[146.042, 307.683]
[146.301, 307.944]
[146.562, 307.947]
[146.822, 307.949]
[147.082, 307.951]
[147.343, 307.953]
[147.602, 308.215]
[147.862, 308.217]
[148.123, 307.960]
[148.384, 307.962]
[148.644, 307.964]
[148.904, 307.966]
[149.165, 307.968]
[149.426, 307.711]
[149.687, 307.453]
[149.948, 307.455]
[150.209, 307.198]
[150.470, 306.940]
[150.730, 306.942]
[150.991, 306.944]
[151.251, 306.947]
[151.510, 307.209]
[151.771, 307.211]
[152.031, 307.213]
[152.291, 307.215]
[152.552, 307.217]
[152.812, 307.219]
[153.072, 307.222]
[153.334, 306.964]
[153.594, 306.966]
[153.854, 306.968]
[154.114, 306.970]
[154.375, 306.973]
[154.635, 306.975]
[154.895, 306.977]
[155.156, 306.979]
[155.415, 307.241]
[155.674, 307.503]
[155.933, 308.025]
[156.192, 308.287]
[156.450, 308.808]
[156.710, 309.070]
[156.969, 309.332]
[157.228, 309.594]
[157.484, 310.895]
[157.742, 311.417]
[158.001, 311.679]
[158.260, 312.201]
[158.519, 312.463]
[158.778, 312.725]
[159.037, 313.246]
[159.296, 313.508]
[159.554, 314.030]
[159.814, 314.292]
[160.073, 314.554]
[160.333, 314.556]
[160.593, 314.818]
[160.852, 315.080]
[161.112, 315.082]
[161.372, 315.344]
[161.632, 315.346]
[161.892, 315.349]
[162.153, 315.351]
[162.413, 315.353]
[162.672, 315.615]
[162.933, 315.617]
[163.192, 315.879]
[163.452, 315.881]
[163.713, 315.883]
[163.973, 315.885]
[164.233, 315.888]
[164.492, 316.150]
[164.753, 316.152]
[165.012, 316.414]
[165.271, 316.676]
[165.532, 316.678]
[165.791, 316.940]
[166.050, 317.202]
[166.308, 317.983]
[166.566, 318.505]
[166.825, 318.767]
[167.084, 319.289]
[167.344, 319.291]
[167.603, 319.553]
[167.863, 319.815]
[168.123, 319.817]
[168.383, 319.819]
[168.644, 319.821]
[168.904, 319.823]
[169.163, 320.085]
[169.424, 320.087]
[169.684, 320.090]
[169.944, 320.092]
[170.206, 319.834]
[170.465, 320.096]
[170.725, 320.098]
[170.985, 320.100]
[171.246, 320.103]
[171.506, 320.105]
[171.765, 320.367]
[172.026, 320.369]
[172.286, 320.371]
[172.546, 320.373]
[172.807, 320.375]
[173.068, 320.118]
[173.327, 320.380]
[173.587, 320.642]
[173.846, 320.904]
[174.105, 321.166]
[174.364, 321.687]
[174.624, 321.690]
[174.883, 321.952]
[175.143, 322.213]
[175.403, 322.216]
[175.663, 322.218]
[175.923, 322.220]
[176.184, 322.222]
[176.443, 322.484]
[176.704, 322.226]
[176.965, 322.229]
[177.225, 322.231]
[177.485, 322.233]
[177.746, 322.235]
[178.007, 321.978]
[178.267, 321.980]
[178.529, 321.722]
[178.789, 321.724]
[179.049, 321.726]
[179.309, 321.729]
[179.570, 321.731]
[179.830, 321.733]
[180.090, 321.735]
[180.351, 321.737]
[180.610, 321.999]
[180.870, 322.001]
[181.131, 322.004]
[181.391, 322.006]
[181.651, 322.008]
[181.912, 321.750]
[182.173, 321.752]
[182.433, 321.755]
[182.693, 321.757]
[182.954, 321.759]
[183.215, 321.501]
[183.476, 321.244]
[183.737, 321.246]
[183.999, 320.729]
[184.260, 320.471]
[184.522, 319.954]
[184.790, 318.137]
[185.051, 317.880]
[185.313, 317.362]
[185.574, 317.105]
[185.837, 316.587]
[186.121, 310.095]
[186.383, 309.837]
[186.644, 309.580]
[186.905, 309.322]
[187.167, 309.065]
[187.427, 309.067]
[187.688, 308.809]
[187.949, 308.552]
[188.210, 308.554]
[188.471, 308.296]
[188.732, 308.038]
[188.994, 307.781]
[189.255, 307.523]
[189.515, 307.525]
[189.775, 307.528]
[190.036, 307.530]
[190.297, 307.272]
[190.557, 307.274]
[190.819, 307.017]
[191.079, 307.019]
[191.339, 307.021]
[191.600, 307.023]
[191.860, 307.025]
[192.119, 307.287]
[192.379, 307.289]
[192.640, 307.292]
[192.899, 307.554]
[193.159, 307.556]
[193.419, 307.818]
[193.679, 307.820]
[193.938, 308.082]
[194.198, 308.344]
[194.458, 308.346]
[194.717, 308.608]
[194.978, 308.610]
[195.238, 308.612]
[195.498, 308.614]
[195.759, 308.617]
[196.018, 308.879]
[196.278, 308.881]
[196.540, 308.623]
[196.800, 308.625]
[197.060, 308.627]
[197.320, 308.630]
[197.581, 308.632]
[197.842, 308.374]
[198.103, 308.117]
[198.364, 308.119]
[198.626, 307.601]
[198.887, 307.344]
[199.149, 306.826]
[199.419, 304.491]
[199.680, 304.233]
[199.941, 303.975]
[200.201, 303.977]
[200.462, 303.980]
[200.723, 303.722]
[200.983, 303.724]
[201.244, 303.726]
[201.504, 303.729]
[201.764, 303.731]
[202.025, 303.733]
[202.285, 303.735]
[202.545, 303.737]
[202.804, 303.999]
[203.065, 304.001]
[203.325, 304.004]
[203.585, 304.006]
[203.845, 304.268]
[204.105, 304.270]
[204.365, 304.272]
[204.626, 304.274]
[204.886, 304.276]
[205.145, 304.538]
[205.405, 304.800]
[205.665, 304.802]
[205.924, 305.064]
[206.184, 305.326]
[206.444, 305.328]
[206.703, 305.590]
[206.964, 305.593]
[207.224, 305.595]
[207.484, 305.597]
[207.744, 305.599]
[208.004, 305.861]
[208.264, 305.863]
[208.523, 306.125]
[208.783, 306.387]
[209.043, 306.389]
[209.302, 306.651]
[209.563, 306.653]
[209.822, 306.915]
[210.081, 307.177]
[210.342, 307.179]
[210.602, 307.182]
[210.862, 307.184]
[211.123, 307.186]
[211.382, 307.448]
[211.643, 307.190]
[211.903, 307.192]
[212.164, 307.195]
[212.424, 307.197]
[212.684, 307.199]
[212.946, 306.941]
[213.206, 306.944]
[213.467, 306.686]
[213.729, 306.428]
[213.989, 306.431]
[214.250, 306.173]
[214.511, 305.915]
[214.772, 305.917]
[215.032, 305.920]
[215.293, 305.662]
[215.554, 305.664]
[215.813, 305.926]
[216.073, 305.928]
[216.334, 305.930]
[216.594, 305.933]
[216.854, 305.935]
[217.113, 306.197]
[217.374, 306.199]
[217.634, 306.201]
[217.894, 306.203]
[218.156, 305.946]
[218.416, 305.948]
[218.675, 306.210]
[218.935, 306.472]
[219.194, 306.734]
[219.453, 306.996]
[219.713, 307.258]
[219.972, 307.520]
[220.230, 308.041]
[220.490, 308.303]
[220.748, 308.825]
[221.008, 308.827]
[221.268, 309.089]
[221.527, 309.351]
[221.786, 309.613]
[222.046, 309.875]
[222.305, 310.137]
[222.564, 310.399]
[222.823, 310.921]
[223.082, 311.182]
[223.341, 311.444]
[223.601, 311.706]
[223.860, 311.968]
[224.119, 312.230]
[224.379, 312.492]
[224.639, 312.494]
[224.898, 312.756]
[225.158, 313.018]
[225.417, 313.280]
[225.676, 313.542]
[225.936, 313.804]
[226.194, 314.326]
[226.454, 314.328]
[226.714, 314.590]
[226.973, 314.852]
[227.233, 314.854]
[227.493, 314.856]
[227.754, 314.858]
[228.014, 314.861]
[228.273, 315.123]
[228.534, 315.125]
[228.794, 315.127]
[229.054, 315.129]
[229.315, 315.131]
[229.575, 315.133]
[229.835, 315.136]
[230.096, 315.138]
[230.356, 315.140]
[230.615, 315.402]
[230.876, 315.404]
[231.136, 315.406]
[231.395, 315.668]
[231.654, 315.930]
[231.914, 316.192]
[232.173, 316.454]
[232.432, 316.716]
[232.693, 316.718]
[232.952, 316.980]
[233.211, 317.242]
[233.472, 317.244]
[233.732, 317.246]
[233.991, 317.508]
[234.251, 317.770]
[234.510, 318.032]
[234.769, 318.294]
[235.030, 318.296]
[235.289, 318.558]
[235.548, 318.820]
[235.809, 318.822]
[236.069, 318.825]
[236.329, 318.827]
[236.590, 318.829]
[236.849, 319.091]
[237.110, 318.833]
[237.370, 318.835]
[237.631, 318.838]
[237.891, 318.840]
[238.151, 318.842]
[238.413, 318.584]
[238.674, 318.327]
[238.934, 318.329]
[239.197, 317.811]
[239.458, 317.554]
[239.720, 317.036]
[239.981, 316.779]
[240.243, 316.521]
[240.504, 316.264]
[240.764, 316.266]
[241.026, 316.008]
[241.287, 315.751]
[241.548, 315.493]
[241.808, 315.495]
[242.070, 315.238]
[242.330, 315.240]
[242.591, 314.982]
[242.852, 314.984]
[243.113, 314.727]
[243.373, 314.729]
[243.633, 314.731]
[243.894, 314.733]
[244.154, 314.735]
[244.414, 314.738]
[244.676, 314.480]
[244.936, 314.482]
[245.196, 314.484]
[245.457, 314.486]
[245.717, 314.489]
[245.978, 314.231]
[246.239, 313.973]
[246.500, 313.976]
[246.761, 313.718]
[247.022, 313.460]
[247.284, 313.203]
[247.545, 312.945]
[247.805, 312.947]
[248.067, 312.690]
[248.328, 312.432]
[248.588, 312.434]
[248.849, 312.177]
[249.111, 311.919]
[249.373, 311.402]
[249.634, 311.144]
[249.896, 310.627]
[250.160, 309.850]
[250.421, 309.592]
[250.682, 309.334]
[250.944, 309.077]
[251.205, 308.819]
[251.467, 308.302]
[251.728, 308.044]
[251.990, 307.786]
[252.251, 307.529]
[252.512, 307.271]
[252.774, 307.014]
[253.035, 306.756]
[253.295, 306.758]
